merchant_id,updated_at,currency,balance,balance_type
abc0001025,2020-01-23 06:14:50.16+00,SGD,0.0,test
abc0001025,2020-11-30 04:40:41.307+00,,-5.41,test
abc0001026,2023-03-30 02:07:06.986+00,,894.3800000000001,test
abc0001028,2023-07-18 01:51:29.279+00,,-299447.5256,real
abc0001031,2023-03-30 02:07:07.321+00,,613.9499999999999,test
abc0001027,2023-06-21 12:11:50.965+00,,70.0935,test
abc0001030,2023-06-18 21:03:48.615+00,,1136.7292,test
abc0001029,2021-10-25 02:32:54.922+00,,-1304446.15,real
abc0001038,2021-10-02 00:01:16.592+00,,-365874.5,real
abc0001037,2020-11-30 04:40:59.843+00,,5.0,test
abc0001037,2021-10-02 00:01:16.551+00,,3.0,real
abc0001041,2021-05-07 11:28:49.46+00,,3752.11,test
abc0001034,2020-11-30 04:40:58.322+00,,1.51,test
abc0001047,2021-10-02 00:01:16.749+00,,9.68,real
abc0001049,2020-11-30 04:41:23.687+00,,157.52,test
abc0001050,2023-01-06 10:30:45.837+00,,-20757.07,real
abc0001048,2020-11-30 04:41:30.107+00,,3102.73,test
abc0001048,2022-09-14 00:39:17.925+00,,-200.10000000000002,real
abc0001045,2020-11-30 04:41:30.58+00,,172.57,test
abc0001054,2021-10-02 00:01:16.921+00,,2.87,real
abc0001044,2021-03-16 05:40:18.116+00,,337.09,test
abc0001041,2024-03-12 00:00:36.431+00,,-8603.0863,real
abc0001056,2021-06-07 12:17:05.824+00,,121.56,test
abc0001070,2020-11-30 04:41:45.444+00,,14.4,test
abc0001052,2021-02-13 20:15:44.337+00,,171.78,test
abc0001079,2020-11-30 04:41:46.884+00,,73.9,test
abc0001081,2020-11-30 04:42:03.918+00,,9517.54,test
abc0001044,2024-02-24 07:52:57.538+00,,-1945.4479,real
abc0001065,2023-03-08 11:56:03.906+00,,615.7967,test
abc0001084,2021-10-02 00:01:17.31+00,,619.71,real
abc0001045,2021-10-02 00:01:16.72+00,,-10359.3,real
abc0001085,2021-10-02 00:01:17.325+00,,-121.33,real
abc0001081,2021-10-02 00:01:17.239+00,,2.76,real
abc0001086,2021-10-02 00:01:17.343+00,,-245.0,real
abc0001026,2024-01-29 13:26:41.176+00,,-16.03,real
abc0001100,2020-11-30 04:42:18.456+00,,7.0,test
abc0001051,2021-04-06 08:52:54.979+00,,10.12,test
abc0001106,2024-01-31 12:57:43.202+00,,9616.9514,test
abc0001105,2021-10-02 00:01:17.54+00,,38.92,real
abc0001094,2020-11-30 04:42:26.166+00,,12.7,test
abc0001110,2023-03-30 02:07:10.534+00,,7215634.84,real
abc0001111,2021-02-26 09:00:49.291+00,,111.71,test
abc0001052,2023-01-28 23:46:57.961+00,,62.0209,real
abc0001083,2021-07-08 00:01:11.639+00,,8761.7,test
abc0001112,2021-10-02 00:01:17.627+00,,872.29,real
abc0001116,2021-10-02 00:01:17.66+00,,2.24,real
abc0001102,2021-07-08 00:01:11.85+00,,36.15,test
abc0001120,2020-11-30 04:42:37.114+00,,10.0,test
abc0001127,2021-10-02 00:01:17.761+00,,-353.91,real
abc0001157,2024-02-02 08:43:47.402+00,,-7.260000000000019,test
abc0001153,2021-10-02 00:01:18.034+00,,-204.01,real
abc0001130,2021-07-08 00:01:12.125+00,,11.36,test
abc0001080,2020-11-30 04:42:57.195+00,,213.24,test
abc0001167,2021-08-05 07:11:20.876+00,,-21.92,test
abc0001055,2020-11-30 04:42:59.132+00,,6.6,test
abc0001187,2021-10-02 00:01:18.342+00,,0.15,real
abc0001200,2020-11-30 04:42:57.418+00,,5.0,test
abc0001199,2021-10-02 00:01:18.481+00,,-125.0,real
abc0001155,2024-03-22 19:33:11.477+00,,-37243.122500000005,real
abc0001227,2021-10-02 00:01:18.716+00,,0.1,real
abc0001215,2021-05-04 09:47:05.44+00,,658.7,test
abc0001083,2021-10-02 00:01:17.27+00,,2.36,real
abc0001190,2022-05-14 06:16:28.08+00,,592.19,test
abc0001252,2021-10-02 00:01:18.909+00,,1.17,real
abc0001224,2022-04-23 06:50:50.832+00,,-16.36,test
abc0001190,2021-10-02 00:01:18.38+00,,-6151.360000000001,real
abc0001055,2021-10-02 00:01:16.942+00,,94.24,real
abc0001095,2021-10-02 00:01:17.425+00,,50.0,real
abc0001272,2022-06-29 00:04:38.939+00,,190.46,test
abc0001080,2022-05-30 14:32:20.746+00,,-166.9425,real
abc0001257,2023-03-16 14:52:25.489+00,,70.43,test
abc0001322,2021-10-02 00:01:19.392+00,,-118.8,real
abc0001332,2022-05-17 02:33:05.998+00,,-3278.43,real
abc0001326,2023-09-28 01:29:16.584+00,,-23179.4457,real
abc0001027,2024-02-11 00:00:25.611+00,,-274623.2186,real
abc0001028,2020-09-10 03:36:11.32+00,,0.0,test
abc0001029,2021-10-01 04:37:09.975+00,,0.0,test
abc0001030,2021-10-01 04:37:09.985+00,,0.0,real
abc0001031,2021-10-01 04:37:10.005+00,,0.0,real
abc0001032,2021-10-01 04:37:10.034+00,,0.0,test
abc0001032,2021-10-01 04:37:10.025+00,,0.0,real
abc0001033,2021-10-01 04:37:10.059+00,,0.0,test
abc0001033,2021-10-01 04:37:10.048+00,,0.0,real
abc0001034,2021-10-01 04:37:10.07+00,,0.0,real
abc0001035,2024-03-06 08:12:09.467+00,,1272.0765999999999,test
abc0001035,2021-10-02 00:01:16.518+00,,-6.0,real
abc0001036,2021-10-01 04:37:10.111+00,,0.0,real
abc0001036,2021-10-01 04:37:10.121+00,,0.0,test
abc0001039,2021-10-01 04:37:10.171+00,,0.0,test
abc0001039,2021-10-01 04:37:10.163+00,,0.0,real
abc0001040,2021-10-01 04:37:10.196+00,,0.0,test
abc0001040,2021-10-01 04:37:10.183+00,,0.0,real
abc0001042,2021-10-01 04:37:10.224+00,,0.0,real
abc0001042,2021-10-01 04:37:10.233+00,,0.0,test
abc0001043,2021-10-01 04:37:10.241+00,,0.0,real
abc0001043,2021-10-01 04:37:10.249+00,,0.0,test
abc0001046,2021-10-01 04:37:10.301+00,,0.0,test
abc0001046,2021-10-01 04:37:10.29+00,,0.0,real
abc0001047,2021-10-01 04:37:10.31+00,,0.0,real
abc0001049,2021-10-01 04:37:10.346+00,,0.0,real
abc0001051,2022-05-13 04:08:55.132+00,,-113.32,real
abc0001053,2021-04-02 09:33:16.423+00,,189.26,test
abc0001053,2022-05-10 07:44:35.801+00,,-5135.78,real
abc0001056,2021-10-01 04:37:10.465+00,,0.0,real
abc0001057,2021-10-01 04:37:10.48+00,,0.0,real
abc0001057,2020-09-10 03:36:11.74+00,,0.0,test
abc0001058,2021-10-01 04:37:10.493+00,,0.0,real
abc0001058,2021-10-01 04:37:10.5+00,,0.0,test
abc0001059,2021-10-01 04:37:10.511+00,,0.0,real
abc0001059,2021-10-01 04:37:10.521+00,,0.0,test
abc0001060,2021-10-01 04:37:10.529+00,,0.0,real
abc0001060,2021-10-01 04:37:10.537+00,,0.0,test
abc0001061,2021-10-01 04:37:10.548+00,,0.0,real
abc0001061,2021-10-01 04:37:10.557+00,,0.0,test
abc0001062,2021-10-01 04:37:10.565+00,,0.0,real
abc0001062,2021-10-01 04:37:10.571+00,,0.0,test
abc0001063,2021-10-01 04:37:10.579+00,,0.0,real
abc0001063,2021-10-01 04:37:10.587+00,,0.0,test
abc0001064,2021-10-01 04:37:10.595+00,,0.0,real
abc0001064,2021-10-01 04:37:10.604+00,,0.0,test
abc0001065,2023-10-12 20:52:47.867+00,,-8245.013500000001,real
abc0001066,2021-10-01 04:37:10.624+00,,0.0,real
abc0001066,2021-10-01 04:37:10.632+00,,0.0,test
abc0001067,2021-10-01 04:37:10.642+00,,0.0,real
abc0001067,2021-10-01 04:37:10.651+00,,0.0,test
abc0001068,2022-10-25 12:32:18.706+00,,4524.65,test
abc0001068,2022-03-31 08:21:15.689+00,,-10.0,real
abc0001069,2021-10-01 04:37:10.677+00,,0.0,real
abc0001069,2020-09-10 03:36:11.931+00,,0.0,test
abc0001070,2021-10-01 04:37:10.691+00,,0.0,real
abc0001071,2021-10-01 04:37:10.712+00,,0.0,test
abc0001071,2021-10-01 04:37:10.704+00,,0.0,real
abc0001072,2021-10-01 04:37:10.718+00,,0.0,real
abc0001072,2021-10-01 04:37:10.725+00,,0.0,test
abc0001073,2021-10-01 04:37:10.735+00,,0.0,real
abc0001073,2021-10-01 04:37:10.742+00,,0.0,test
abc0001074,2021-10-01 04:37:10.751+00,,0.0,real
abc0001074,2021-10-01 04:37:10.759+00,,0.0,test
abc0001075,2021-10-01 04:37:10.77+00,,0.0,real
abc0001075,2021-10-01 04:37:10.777+00,,0.0,test
abc0001076,2021-10-01 04:37:10.785+00,,0.0,real
abc0001076,2021-10-01 04:37:10.793+00,,0.0,test
abc0001077,2020-09-10 03:36:12.043+00,,0.0,test
abc0001077,2024-02-27 02:02:28.392+00,,4.96,real
abc0001078,2020-09-10 03:36:12.057+00,,0.0,test
abc0001078,2022-06-01 00:01:14.096+00,,-1134.8806000000002,real
abc0001079,2021-10-01 04:37:10.826+00,,0.0,real
abc0001082,2021-10-01 04:37:10.873+00,,0.0,real
abc0001087,2021-10-01 04:37:10.942+00,,0.0,test
abc0001087,2021-10-01 04:37:10.935+00,,0.0,real
abc0001088,2021-10-01 04:37:10.95+00,,0.0,real
abc0001089,2020-09-10 03:36:12.152+00,,0.0,test
abc0001089,2021-10-01 04:37:10.959+00,,0.0,real
abc0001090,2021-10-01 04:37:10.972+00,,0.0,real
abc0001090,2021-10-01 04:37:10.978+00,,0.0,test
abc0001091,2021-10-01 04:37:10.987+00,,0.0,real
abc0001091,2021-10-01 04:37:10.995+00,,0.0,test
abc0001092,2021-10-01 04:37:11.002+00,,0.0,real
abc0001092,2021-10-01 04:37:11.011+00,,0.0,test
abc0001093,2021-10-01 04:37:11.018+00,,0.0,real
abc0001093,2021-10-01 04:37:11.025+00,,0.0,test
abc0001094,2021-10-01 04:37:11.033+00,,0.0,real
abc0001096,2021-10-01 04:37:11.058+00,,0.0,real
abc0001096,2021-10-01 04:37:11.067+00,,0.0,test
abc0001097,2021-10-01 04:37:11.076+00,,0.0,real
abc0001097,2021-10-01 04:37:11.084+00,,0.0,test
abc0001098,2021-10-01 04:37:11.092+00,,0.0,real
abc0001098,2020-09-10 03:36:12.278+00,,0.0,test
abc0001099,2021-10-01 04:37:11.114+00,,0.0,test
abc0001099,2021-10-01 04:37:11.106+00,,0.0,real
abc0001100,2021-10-01 04:37:11.127+00,,0.0,real
abc0001101,2021-10-01 04:37:11.148+00,,0.0,test
abc0001101,2021-10-01 04:37:11.141+00,,0.0,real
abc0001102,2021-10-01 04:37:11.159+00,,0.0,real
abc0001103,2020-09-10 03:36:12.344+00,,0.0,test
abc0001103,2021-10-01 04:37:11.171+00,,0.0,real
abc0001104,2021-10-01 04:37:11.193+00,,0.0,test
abc0001104,2021-10-01 04:37:11.183+00,,0.0,real
abc0001106,2021-10-01 04:37:11.208+00,,0.0,real
abc0001107,2021-10-01 04:37:11.222+00,,0.0,real
abc0001107,2021-10-01 04:37:11.229+00,,0.0,test
abc0001108,2021-10-01 04:37:11.244+00,,0.0,test
abc0001108,2021-10-01 04:37:11.236+00,,0.0,real
abc0001109,2021-10-01 04:37:11.251+00,,0.0,real
abc0001109,2021-10-01 04:37:11.259+00,,0.0,test
abc0001111,2021-10-01 04:37:11.28+00,,0.0,real
abc0001113,2021-10-01 04:37:11.305+00,,0.0,real
abc0001113,2021-10-01 04:37:11.311+00,,0.0,test
abc0001114,2021-10-01 04:37:11.319+00,,0.0,real
abc0001114,2021-10-01 04:37:11.325+00,,0.0,test
abc0001115,2021-10-01 04:37:11.333+00,,0.0,real
abc0001115,2021-10-01 04:37:11.339+00,,0.0,test
abc0001116,2020-09-10 03:36:12.499+00,,0.0,test
abc0001117,2021-10-01 04:37:11.36+00,,0.0,real
abc0001117,2021-10-01 04:37:11.366+00,,0.0,test
abc0001118,2021-10-01 04:37:11.376+00,,0.0,real
abc0001118,2021-10-01 04:37:11.382+00,,0.0,test
abc0001119,2020-09-10 03:36:12.54+00,,0.0,test
abc0001119,2021-10-01 04:37:11.39+00,,0.0,real
abc0001120,2021-10-01 04:37:11.402+00,,0.0,real
abc0001121,2021-10-01 04:37:11.414+00,,0.0,real
abc0001121,2021-10-01 04:37:11.42+00,,0.0,test
abc0001122,2021-10-01 04:37:11.428+00,,0.0,real
abc0001122,2021-10-01 04:37:11.434+00,,0.0,test
abc0001123,2021-10-01 04:37:11.442+00,,0.0,real
abc0001123,2021-10-01 04:37:11.449+00,,0.0,test
abc0001124,2021-10-01 04:37:11.457+00,,0.0,real
abc0001124,2021-10-01 04:37:11.465+00,,0.0,test
abc0001125,2021-10-01 04:37:11.49+00,,0.0,test
abc0001125,2021-10-01 04:37:11.484+00,,0.0,real
abc0001126,2021-10-01 04:37:11.498+00,,0.0,real
abc0001126,2021-10-01 04:37:11.505+00,,0.0,test
abc0001128,2021-10-01 04:37:11.55+00,,0.0,real
abc0001128,2021-10-01 04:37:11.557+00,,0.0,test
