merchant_id,account_age_days,balance,days_since_last_tx,dropped_out
abc0001025,1879,0.0,1260,1
abc0001026,1863,-16.03,410,0
abc0001027,1861,-274623.2186,398,0
abc0001028,1858,-299447.5256,606,0
abc0001029,1858,-1304446.15,1236,1
abc0001030,1857,0.0,1260,1
abc0001031,1855,0.0,1260,0
abc0001032,1835,0.0,1260,1
abc0001033,1829,0.0,1260,1
abc0001034,1829,0.0,1260,1
abc0001035,1824,-6.0,1260,0
abc0001036,1824,0.0,1260,0
abc0001037,1823,3.0,1260,1
abc0001038,1818,-365874.5,1260,1
abc0001039,1816,0.0,1260,1
abc0001040,1815,0.0,1260,1
abc0001041,1806,-8603.0863,368,0
abc0001042,1803,0.0,1260,1
abc0001043,1799,0.0,1260,1
abc0001044,1799,-1945.4479,384,0
abc0001045,1795,-10359.3,1260,1
abc0001046,1795,0.0,1260,1
abc0001047,1795,9.68,1260,1
abc0001047,1795,0.0,1260,1
abc0001048,1795,-200.1,913,1
abc0001049,1794,0.0,1260,1
abc0001050,1788,-20757.07,798,1
abc0001051,1787,-113.32,1036,1
abc0001052,1779,62.0209,776,1
abc0001053,1779,-5135.78,1039,0
abc0001054,1778,2.87,1260,1
abc0001054,1778,0.0,1260,1
abc0001055,1775,94.24,1260,1
abc0001056,1775,0.0,1260,1
abc0001057,1774,0.0,1260,1
abc0001058,1773,0.0,1260,1
abc0001059,1773,0.0,1260,1
abc0001060,1773,0.0,1260,1
abc0001061,1773,0.0,1260,1
abc0001062,1773,0.0,1260,1
abc0001063,1773,0.0,1260,1
abc0001064,1773,0.0,1260,1
abc0001065,1773,-8245.013500000001,519,0
abc0001066,1770,0.0,1260,1
abc0001067,1770,0.0,1260,1
abc0001068,1770,-10.0,1079,0
abc0001069,1768,0.0,1260,1
abc0001070,1767,0.0,1260,1
abc0001071,1767,0.0,1260,1
abc0001072,1767,0.0,1260,1
abc0001073,1767,0.0,1260,1
abc0001074,1767,0.0,1260,1
abc0001075,1767,0.0,1260,1
abc0001076,1767,0.0,1260,1
abc0001077,1767,4.96,381,0
abc0001078,1766,-1134.8806000000002,1018,1
abc0001079,1766,0.0,1260,0
abc0001080,1765,-166.9425,1019,1
abc0001081,1758,2.76,1260,1
abc0001082,1753,0.0,1260,1
abc0001082,1753,0.0,1260,1
abc0001083,1751,2.36,1260,1
abc0001084,1747,619.71,1260,1
abc0001084,1747,0.0,1260,1
abc0001085,1746,-121.33,1260,1
abc0001086,1745,-245.0,1260,1
abc0001086,1745,57893.38,1157,1
abc0001087,1745,0.0,1260,1
abc0001088,1745,0.0,1260,1
abc0001089,1744,0.0,1260,1
abc0001090,1743,0.0,1260,1
abc0001091,1743,0.0,1260,1
abc0001092,1742,0.0,1260,1
abc0001093,1742,0.0,1260,1
abc0001094,1741,0.0,1260,1
abc0001095,1740,50.0,1260,0
abc0001096,1738,0.0,1260,1
abc0001097,1738,0.0,1260,1
abc0001098,1737,0.0,1260,1
abc0001099,1735,0.0,1260,1
abc0001100,1734,0.0,1260,1
abc0001100,1734,0.0,1260,1
abc0001101,1734,0.0,1260,1
abc0001102,1734,0.0,1260,1
abc0001103,1733,0.0,1260,1
abc0001104,1733,0.0,1260,1
abc0001105,1733,38.92,1260,1
abc0001106,1732,0.0,1260,1
abc0001107,1731,0.0,1260,1
abc0001108,1731,0.0,1260,1
abc0001109,1728,0.0,1260,1
abc0001110,1726,7215634.84,715,1
abc0001110,1726,0.0,1260,1
abc0001111,1726,0.0,1260,1
abc0001112,1724,872.29,1260,1
abc0001112,1724,0.0,1260,1
abc0001113,1724,0.0,1260,1
abc0001114,1721,0.0,1260,1
abc0001115,1721,0.0,1260,1
abc0001116,1721,2.24,1260,1
abc0001117,1720,0.0,1260,1
abc0001118,1720,0.0,1260,1
abc0001119,1719,0.0,1260,0
abc0001120,1717,0.0,1260,1
abc0001121,1717,0.0,1260,1
