id,created_at,status,market,vat_percentage
abc0001025,2020-01-21 07:23:19.224+00,suspend,,0.0
abc0001026,2020-02-06 07:57:42.329+00,active,,0.0
abc0001027,2020-02-08 06:40:58.3+00,active,CA,0.0
abc0001028,2020-02-12 01:09:57.698+00,active,HK,0.0
abc0001029,2020-02-12 01:12:06.553+00,suspend,,0.0
abc0001030,2020-02-13 01:36:28.357+00,suspend,GB,0.0
abc0001031,2020-02-14 07:57:28.859+00,active,,0.0
abc0001032,2020-03-05 03:13:16.661+00,suspend,,0.0
abc0001033,2020-03-11 08:58:50.821+00,suspend,,0.0
abc0001034,2020-03-11 09:39:35.731+00,suspend,,0.0
abc0001035,2020-03-16 09:21:30.97+00,active,HK,0.0
abc0001036,2020-03-16 09:32:47.962+00,active,,0.0
abc0001037,2020-03-17 10:21:19.767+00,suspend,,0.0
abc0001038,2020-03-22 08:47:35.783+00,suspend,,0.0
abc0001039,2020-03-24 02:10:04.428+00,suspend,,0.0
abc0001040,2020-03-25 09:40:13.915+00,suspend,,0.0
abc0001041,2020-04-03 07:10:08.852+00,active,DE,0.0
abc0001042,2020-04-06 02:52:24.986+00,suspend,,0.0
abc0001043,2020-04-10 03:36:19.304+00,suspend,,0.0
abc0001044,2020-04-10 03:48:08.356+00,active,AU,0.0
abc0001045,2020-04-14 03:43:23.337+00,suspend,,0.0
abc0001046,2020-04-14 04:01:31.174+00,suspend,,0.0
abc0001047,2020-04-14 12:23:37.19+00,suspend,,0.0
abc0001048,2020-04-14 12:28:54.946+00,suspend,,0.0
abc0001049,2020-04-15 10:47:31.379+00,suspend,,0.0
abc0001050,2020-04-21 02:30:46.917+00,suspend,,0.0
abc0001051,2020-04-22 03:55:46.085+00,suspend,MY,0.0
abc0001052,2020-04-30 11:57:11.788+00,suspend,SN,0.0
abc0001053,2020-04-30 12:02:24.166+00,active,,9.0
abc0001054,2020-05-01 02:31:36.639+00,suspend,,0.0
abc0001055,2020-05-04 03:07:03.653+00,suspend,,0.0
abc0001056,2020-05-04 07:32:32.669+00,suspend,,0.0
abc0001057,2020-05-05 04:57:56.545+00,suspend,,0.0
abc0001058,2020-05-06 13:05:08.611+00,suspend,,0.0
abc0001059,2020-05-06 13:05:19.16+00,suspend,,0.0
abc0001060,2020-05-06 15:51:20.397+00,suspend,,0.0
abc0001061,2020-05-06 15:53:09.629+00,suspend,,0.0
abc0001062,2020-05-06 15:55:47.39+00,suspend,,0.0
abc0001063,2020-05-06 15:59:21.76+00,suspend,,0.0
abc0001064,2020-05-06 16:23:58.243+00,suspend,,0.0
abc0001065,2020-05-07 00:46:37.164+00,active,FR,0.0
abc0001066,2020-05-09 05:01:50.373+00,suspend,,0.0
abc0001067,2020-05-09 05:04:45.596+00,suspend,,0.0
abc0001068,2020-05-09 09:02:56.914+00,active,,0.0
abc0001069,2020-05-11 07:45:16.094+00,suspend,,0.0
abc0001070,2020-05-12 08:08:27.719+00,suspend,,0.0
abc0001071,2020-05-12 11:28:51.115+00,suspend,,0.0
abc0001072,2020-05-12 13:00:41.814+00,suspend,,0.0
abc0001073,2020-05-12 13:00:45.97+00,suspend,,0.0
abc0001074,2020-05-12 13:01:24.642+00,suspend,,0.0
abc0001075,2020-05-12 13:03:25.973+00,suspend,,0.0
abc0001076,2020-05-12 13:05:23.345+00,suspend,,0.0
abc0001077,2020-05-12 13:09:40.99+00,active,CA,0.0
abc0001078,2020-05-13 02:45:27.353+00,suspend,,0.0
abc0001079,2020-05-13 06:04:08.996+00,active,,0.0
abc0001080,2020-05-14 05:11:10.176+00,suspend,,0.0
abc0001081,2020-05-21 02:37:18.601+00,suspend,,0.0
abc0001082,2020-05-27 01:46:18.675+00,suspend,,0.0
abc0001083,2020-05-28 13:27:58.265+00,suspend,,0.0
abc0001084,2020-06-01 03:48:59.679+00,suspend,,0.0
abc0001085,2020-06-02 13:00:48.449+00,suspend,,0.0
abc0001086,2020-06-03 08:39:23.483+00,suspend,,0.0
abc0001087,2020-06-04 01:17:40.657+00,suspend,,0.0
abc0001088,2020-06-04 01:50:36.203+00,suspend,,0.0
abc0001089,2020-06-04 02:44:57.963+00,suspend,,0.0
abc0001090,2020-06-05 08:24:14.562+00,suspend,,0.0
abc0001091,2020-06-05 11:42:26.322+00,suspend,,0.0
abc0001092,2020-06-06 12:32:02.223+00,suspend,,0.0
abc0001093,2020-06-06 12:33:49.727+00,suspend,,0.0
abc0001094,2020-06-07 05:10:45.532+00,suspend,,0.0
abc0001095,2020-06-08 08:46:57.903+00,active,,0.0
abc0001096,2020-06-10 06:07:15.454+00,suspend,,0.0
abc0001097,2020-06-11 01:53:41.676+00,suspend,,0.0
abc0001098,2020-06-11 20:38:13.022+00,suspend,,0.0
abc0001099,2020-06-13 03:06:43.236+00,suspend,,0.0
abc0001100,2020-06-14 07:14:44.482+00,suspend,,0.0
abc0001101,2020-06-14 18:07:01.666+00,suspend,,0.0
abc0001102,2020-06-15 01:36:36.045+00,suspend,,0.0
abc0001103,2020-06-15 14:10:00.864+00,suspend,,0.0
abc0001104,2020-06-15 14:12:38.264+00,suspend,,0.0
abc0001105,2020-06-16 01:32:16.937+00,suspend,,0.0
abc0001106,2020-06-16 08:09:37.023+00,suspend,US,0.0
abc0001107,2020-06-17 06:46:52.256+00,suspend,,0.0
abc0001108,2020-06-17 22:45:53.463+00,suspend,,0.0
abc0001109,2020-06-20 02:13:05.98+00,suspend,,0.0
abc0001110,2020-06-22 05:53:40.128+00,suspend,,0.0
abc0001111,2020-06-22 11:37:21.913+00,suspend,,0.0
abc0001112,2020-06-24 10:16:47.92+00,suspend,,0.0
abc0001113,2020-06-24 12:35:49.151+00,suspend,,0.0
abc0001114,2020-06-27 13:45:57.61+00,suspend,,0.0
